run_date,company,summary,source_titles,chatter_summary,chatter_source_titles
"2026-08-26","Godrej Properties","- Godrej Industries signed an MoU with Haryana to invest Rs 20,000 crore, with Godrej Properties Ltd serving as a key driver of the Group's investment plans.

- Godrej Properties plans to invest Rs 16,000 crore in Haryana by FY28, while Godrej Ventures will develop Grade A+ office infrastructure in Gurugram.

- The investment is expected to generate approximately 40,000 jobs according to the MoU with the Haryana government.","Godrej Industries signs MoU with Haryana to invest Rs 20,000 crore | Rs 20,000 Crore Investment, 40,000 Jobs: Godrej Signs MoU With Haryana Govt","- Post 1 contains only generic comparison of real estate market share across Indian companies, with no specific chatter, rumors, or speculation about Godrej Properties itself.

- Posts 2, 3, 4, and 5 reference official company announcements, regulatory filings (NCLT, ROC), and verified earnings results—not unverified social media speculation.

- Post 6 is a generic market data summary with no unconfirmed rumors, speculation about leadership changes, or unverified claims specific to Godrej Properties.","Market share of Real estate cos of India 🏗🏢🏘

DLF  - Delhi NCR, Pan-India
Godrej Prop - Pan-India 
Oberoi Realty - Mumbai Metropolitan Region 
Phoenix Mills - Pan-India
Lodha - Mumbai (MMR), Pune

$GODREJPROP.NSE | 🚨 Godrej Properties makes Embellish Houses merger effective after completing ROC filing

$GODREJPROP.NSE 

Godrej Properties has made the Scheme of Amalgamation of its wholly owned subsidiary Embellish Houses Private Limited with the listed company effective after filing the NCLT-sanctioned scheme with the Registrar of Companies, Mumbai. 0

The Mumbai Bench of the NCLT had sanctioned the amalgamation on July 8. Godrej Properties received the certified copy of the order on August 7 and has now completed the filing required to make the scheme operative.

The appointed date of the scheme is November 1, 2025. Since Embellish Houses is wholly owned by Godrej Properties, no new Godrej Properties shares will be issued as merger consideration; the subsidiary’s existing shares will stand cancelled under the scheme. 1

The amalgamation consolidates the real-estate businesses within Godrej Properties and reduces the number of separate legal entities and related administrative and regulatory compliances. | $GODREJPROP.NSE shares jump over 4% on positive FY27 outlook, strong residential market 
 
https://www.cnbctv18.com/market/godrej-properties-share-price-strong-fy27-outlook-operating-cash-flow-collections-new-launches-returns-19962159.htm | $GODREJPROP.NSE Q1 Results: Operating cash flow of ₹20,000 crore see by next seven quarters 
 
https://www.cnbctv18.com/market/godrej-properties-q1-results-cash-flow-guidance-fy28-fcf-booking-collection-share-price-19961195.htm | GODREJ PROPERTIES | Q1 RESULTS 🚨 
 
✅ Net Profit declined 42% YoY to ₹350 Cr vs ₹600 Cr 
 
✅ Revenue increased 16% YoY to ₹506 Cr vs ₹435 Cr 
 
✅ Other Income fell to ₹839 Cr vs ₹1,186 Cr YoY 
 
✅ EBITDA Loss widened to ₹285.5 Cr vs ₹243 Cr loss YoY 
 
📊 Mixed quarterly performance with higher revenue, but profitability remained under pressure due to a wider EBITDA loss and lower other income. 
 
$GODREJPROP.NSE | $GODREJPROP.NSE - CMP: 2101.1
O: 2125.0 | H: 2134.0 | L: 2096.1 | Prev: 2117.87 | Change: -0.80%

Sector: Finance
Industry: Real Estate Development

Godrej Properties is currently a focal point for investors as the company continues to report record-breaking sales performance and expands its project pipeline through strategic land acquisitions in high-growth markets like Bengaluru, Gurugram, and Pune. Market participants are actively discussing the company&#39;s strong operational momentum, recent quarterly earnings, and its ability to secure major luxury development contracts, which remain key drivers for its positive sentiment.

Explore the tools for automated analysis at https://kkonline.org/nimblrta/"
"2026-08-26","Biocon","- Biocon Biologics received marketing approval from Japan's Ministry of Health, Labour and Welfare (MHLW) for its pegfilgrastim biosimilar, a cancer supportive care medicine used to prevent infections after chemotherapy.

- The pegfilgrastim biosimilar is a substitute for Neulasta and was developed and manufactured by Biocon Biologics, with Global Regulatory Partners Japan serving as the Marketing Authorization Holder.

- Sandoz K.K. will have exclusive rights to promote, sell, and distribute the pegfilgrastim biosimilar in Japan, expanding Biocon's biosimilar portfolio in the Japanese market.","Biocon arm gets Japanese regulatory nod for pegfilgrastim biosimilar | Biocon's biologics arm gets regulatory nod in Japan for Pegfilgrastim biosimilar | Biocon Biologic receives Japanese regulatory approval for pegfilgrastim biosimilar | Biocon's Pegfilgrastim Biosimilar Gets Japan MHLW Approval","- Posts 1, 3, 4, 5, and 6 contain links to verified news outlets (CNBC-TV18) and official earnings announcements, not unverified social media speculation, so they do not constitute chatter to be summarized here.
- Post 2 is generic stock ticker mention with no substantive commentary specific to Biocon.","Vikas Khemani bets big on India&#39;s manufacturing shift, sees $BIOCON.NSE  at an &quot;inflection point&quot; 
 
https://www.cnbctv18.com/market/vikas-khemani-bets-on-india-manufacturing-shift-sees-biocon-at-inflection-point-19974251.htm | $PAYTM.NSE $BSE.NSE $TIINDIA.NSE $BIOCON.NSE

https://newsletter.indiastox.com/p/milky-mist-pops-paytm-blocks-bse-gets-hit-again | BIOCON LTD 🚨 
 
✅ US FDA approves Yesintek Single-dose Prefilled Autoinjector 
 
✅ Product indicated for the treatment of moderate to severe plaque psoriasis 
 
✅ Approval strengthens Biocon’s presence in the immunology &amp; dermatology segment 
 
📌 Key development for Biocon’s U.S. portfolio 
 
$BIOCON.NSE | $BIOCON.NSE  expects stronger second half on new biosimilar launches 
 
https://www.cnbctv18.com/market/earnings/biocon-q1-results-expects-stronger-second-half-on-new-biosimilar-launches-syngene-turnaround-seen-by-fy27-end-19963264.htm | 🧬 BIOCON | Management Commentary

📈 Biocon expects its subsidiary Syngene International to deliver stronger performance in the second half of FY27 (October–March).

📌 Key Takeaways:

Management expects Syngene International to perform better during the October–March period.

The outlook suggests improved business momentum in the second half of the financial year.

Investors may watch for stronger execution, higher demand, and improved earnings contribution from Syngene in H2 FY27.

$BIOCON.NSE | #BIOCON | Q1 FY27 Results 📊 
 
✅ Net Profit jumps to ₹141 Cr vs ₹31.4 Cr YoY (~349% Growth) 🚀 
 
✅ Revenue rises 10% YoY to ₹4,336 Cr vs ₹3,942 Cr 
 
✅ EBITDA grows 10.6% YoY to ₹847.2 Cr vs ₹766.1 Cr 
 
✅ EBITDA Margin improves to 19.54% vs 19.43% YoY 
 
📈 Strong bottom-line growth supported by steady revenue and EBITDA expansion. 
 
$BIOCON.NSE"
"2026-08-26","South Indian Bank","No fresh news found for South Indian Bank today from the tracked sources.","","- StockTwits users are highlighting FII holding increases from 17.58% to 25.39% alongside commentary on NPA reductions and record profits, though noting profitability metrics still trail leading private banks—unverified social media analysis rather than confirmed reporting.

- One post claims, without independent verification, that South Indian Bank's Board has approved fundraising of up to ₹1,000 Crore through debt securities subject to shareholder approval.

- StockTwits users are discussing Q1 FY27 results figures (net profit ₹380 Cr, NPA metrics) and circulating details about the RBI-approved appointment of Mahesh Muralidhar Pai as MD & CEO—these appear sourced from official disclosures but are being amplified and interpreted by unverified social media commentary.","4. South Indian Bank 
 
FII holding: 17.58% → 25.39% 
 
What&#39;s improving: 
• Sharp reduction in NPAs 
• Record annual profit 
• Growth in deposits and advances 
• Focus on retail and MSME lending 
 
Key risk: Profitability metrics still trail leading private sector banks. 
 
$SOUTHBANK.NSE | $SOUTHBANK.NSE expects stable asset quality, strong gold loan growth 
 
https://www.cnbctv18.com/market/earnings/south-indian-bank-stable-asset-quality-gold-loan-growth-despite-global-risks-ceo-q1-earnings-results-boardroom-geopolitical-tensions-west-asia-19948121.htm | SOUTH INDIAN BANK 
 
✅ Board approves fundraising of up to ₹1,000 Crore through debt securities. 
 
✅ Fundraising is subject to shareholder approval. 
 
✅ The proposed capital raise is expected to strengthen the bank&#39;s funding position and support future growth initiatives. 
 
🏦 A key corporate development to watch for investors. 
 
$SOUTHBANK.NSE | $SOUTHBANK.NSE Q1 Results: Core income drops 13%, asset quality stable 
 
https://www.cnbctv18.com/market/south-indian-bank-q1-results-core-income-drops-13-pc-asset-quality-stable-19947084.htm | 🚨 #SOUTHBANK Q1 FY27 RESULTS 🏦📊

✅ Net Profit: ₹380 Cr ⬆️ 18% YoY (vs ₹322 Cr)

✅ Interest Earned: ₹2,630 Cr ⬆️ 11% YoY (vs ₹2,360 Cr)

✅ Gross NPA: 1.38% vs 1.43% (QoQ)

✅ Net NPA: 0.26% vs 0.29% (QoQ)

$SOUTHBANK.NSE | 🚨 #SOUTHBANK IN FOCUS | RBI APPROVES NEW MD &amp; CEO APPOINTMENT 🏦

📢 The South Indian Bank has received RBI approval for the appointment of Mr. Mahesh Muralidhar Pai as its Managing Director &amp; Chief Executive Officer (MD &amp; CEO).

📊 Key Highlights

✅ RBI approves appointment of Mr. Mahesh Muralidhar Pai as MD &amp; CEO

✅ Brings nearly 30 years of banking experience

✅ Previously served as Chief General Manager – Digital Banking &amp; Innovation at Canara Bank

✅ Extensive expertise across: • Treasury • Retail Banking • MSME Banking • Agriculture Finance • Overseas Operations • Board-level leadership

$SOUTHBANK.NSE"
"2026-08-26","Karnataka Bank","No fresh news found for Karnataka Bank today from the tracked sources.","","- StockTwits users are sharing technical trading analysis and speculation that Karnataka Bank could see upside moves based on chart patterns like rising wedges and ascending triangles, with price targets around ₹300+, though these are unverified trading predictions.

- Social media posts are circulating unconfirmed speculation that Karnataka Bank's Q1 results showed strong net profit growth of 44.5% YoY and improving asset quality metrics, though these claims have not been independently verified as official announcements.","$KTKBANK.NSE  
#MSISetup #MomentumTrading #MomentumMentor #RuleBasedSetup 
Stock after Achieving Last Suggest Target, Start Trading in Small Rising Wedge and Price close at its Breakout Level. Expected Further Upside move with Breakout Validation Candle. 
Buy Signal already come in MSI Setup. Now MSI Line in Bullish Zone. 
 
Check my Profile Bio to Connect.  
For more Content Like This - 
Subscribe my Educational Youtube Channel (Handle - @MomentumMentorAbhi). 
Follow me on Twitter/X (Handle - @abhishek_kush ).  
Follow me on TradingView (Handle - @Abhishek_MomentumTrader) | KARNATAKA BANK 
 
✅ Q1 Net Profit: ₹419 Crore ⬆️ vs ₹290 Crore YoY (+44.5%) 
 
✅ Q1 Revenue: ₹2,383 Crore ⬆️ vs ₹2,260 Crore YoY (+5.4%) 
 
✅ Gross NPA (GNPA): Improved to 2.58% from 2.78% QoQ. 
 
✅ Net NPA (NNPA): Declined to 0.87% from 0.98% QoQ. 
 
✅ Strong earnings growth backed by improving asset quality and healthy revenue expansion. 
 
📈 A solid quarter for Karnataka Bank, with profitability and asset quality showing positive momentum. 
 
$KTKBANK.NSE | $KTKBANK.NSE 

🚨 KTKBANK | Ascending Triangle Breakout Alert 🚨

📈 KTKBANK is knocking on a major resistance zone!

A decisive breakout above ₹280 could trigger the next leg of the rally, with ₹300+ as the immediate upside target. | #KARNATAKABANK 
 
✅ Gross Advances grew 16.6% YoY, reflecting strong credit growth. 
 
✅ Advances also increased 3.9% QoQ, indicating healthy sequential momentum. 
 
✅ Sustained loan growth highlights robust business expansion and improving lending traction. 
 
📈 A positive operational update that investors will be watching closely. 
 
$KTKBANK.NSE | Karnataka Bank Ltd reports provisional key business parameters as of 30.06.2026. Deposits grew 6.94% YoY to ₹1,10,411.54 Cr, with Gross Advances up 16.59% YoY to ₹86,590.11 Cr. CASA increased 12.46% YoY to ₹35,802.48 Cr. The share of CASA to total deposits stood at 32.43%. These figures are subject to a limited review by auditors.

📊 KARNATAKA BANK LTD | 🏷️ General

🌐 Details: https://wegro.app/IEQQr1

⚡️Instant stock alerts on WhatsApp - Try FREE 👉 https://www.wegro.app/go

$KTKBANK.NSE | Karnataka Bank Ltd. will hold virtual meetings with Analysts &amp; Institutional Investors on June 25, 2026, from 11 AM to 2 PM. Top management will attend. The meetings are organized by Ernst &amp; Young LLP. Information shared will be limited to what is publicly available, including the Q4FY2025-26 investor presentation already uploaded on the bank&#39;s website.

📊 KARNATAKA BANK LTD | 🏷️ Analyst / Investor Meet

🌐 Details: https://wegro.app/C8fE53

⚡️Instant stock alerts on WhatsApp - Try FREE 👉 https://www.wegro.app/go

$KTKBANK.NSE"
"2026-08-26","Deepak Nitrite","No fresh news found for Deepak Nitrite today from the tracked sources.","","- StockTwits users are speculating that Deepak Nitrite faces execution and balance-sheet risks despite strong Q1FY27 results, citing concerns about the company's planned massive capex of around ₹115 billion.

- One post claims, without evidence, that Deepak Nitrite stock should be bought at ₹1717 with a one-week target of ₹1796 and stop loss at ₹1686.","4. Deepak Nitrite 
 
Q1FY27: 
Revenue: +35% 
EBITDA: +159% 
Net profit: +207% 
EBITDA margin: 21% vs 11% YoY 
 
The story is operating leverage and integrated chemical value chains. 
 
But there is a catch. 
 
The company plans massive capex of around ₹115 bn. 
 
Growth could be substantial, but so can execution and balance-sheet risks. 
 
$DEEPAKNTR.NSE | Vadodara-based $DEEPAKNTR.NSE  expects strong FY27 as raw material strategy supports growth 
 
https://www.cnbctv18.com/market/earnings/vadodara-deepak-nitrite-expects-strong-fy27-raw-material-strategy-supports-growth-west-asia-crisis-q1-earnings-results-boardroom-19964289.htm | Stocks to Focus on 5th Aug 2026

1.  $DEEPAKNTR.NSE  : Buy at ₹1717, Target ₹1796, Stop Loss: ₹1686

2. $ICICIGI.NSE  : Buy at ₹1644, Target ₹1676, Stop Loss: ₹1627

3. $BHARTIHEXA.NSE : Buy at ₹1616, Target ₹1677, Stop Loss: ₹1593

Time Period - 1 week | #DEEPAKNITRITE | Q1 Results 📊 
 
✅ Net Profit jumps to ₹345 Cr vs ₹112.2 Cr YoY (↑207%) 🚀 
 
✅ Revenue rises 36.4% YoY to ₹2,577.6 Cr vs ₹1,889.8 Cr 
 
✅ EBITDA surges to ₹540.2 Cr vs ₹189.4 Cr YoY (↑185%) 
 
✅ EBITDA Margin expands sharply to 21.0% from 10.03% YoY 📈 
 
🔥 Strong quarter with robust earnings growth, higher profitability, and significant margin expansion. 
 
$DEEPAKNTR.NSE | $DEEPAKNTR.NSE Q1 profit surges as margin doubles; board clears ₹2,500 crore expansion 
 
https://www.cnbctv18.com/market/deepak-nitrite-q1-results-profit-surges-margin-doubles-clears-rs-2500-crore-expansion-19961655.htm | Stocks to Watch for August 5: $BHARTIARTL.NSE , $NYKAA.NSE , $DEEPAKNTR.NSE , $MARICO and more 
 
https://www.cnbctv18.com/photos/market/top-stocks-to-watch-for-august-5-bharti-airtel-bharti-hexacom-nykaa-and-banks-auto-rbi-mpc-decision-19961529.htm"
"2026-08-26","Aditya Birla Capital","- Jefferies has picked Aditya Birla Capital as one of 4 NBFCs expected to outperform the Nifty and bank stocks, with target prices implying up to 20% upside, citing strong earnings growth and asset-quality improvement.

- Kotak identifies Aditya Birla Capital as better positioned on net interest margin (NIM) compared to peers like Tata Capital and Shriram Finance.","Jefferies picks 4 NBFCs with up to 20% upside that may continue outperforming Nifty, bank stocks. Here’s why | Aditya Birla Capital, Tata Capital, Shriram Finance better placed on NIM, says Kotak","- The posts provided consist primarily of verified news headlines (gold loan business entry, Q1 results, FII holdings data) and generic investment commentary rather than unverified speculation, rumors, or chatter specific to Aditya Birla Capital.","$ABCAPITAL.NSE shares gain after unit enters gold loan business, plans 1,000 branch rollout 
 
https://www.cnbctv18.com/market/aditya-birla-capital-share-price-unit-enters-gold-loan-business-1000-branch-rollout-in-three-years-19973312.htm | Stocks to Watch in Coming Weeks -                           
$GRASIM.NSE 
$NATIONALUM.NSE 
$TMPV.NSE 
$SHRIRAMFIN.NSE 
$ABCAPITAL.NSE 
 
These stocks are ones to watch in the coming days. Are you adding any of them to your portfolio? | 🚨 Stock on SSSS Radar: ABCAPITAL 
 
📈 ABCAPITAL has just entered the TREND Category on the Smooth Structural Strength Score (SSSS) indicator. 
 
✅ Fresh 52-Week High 
✅ Breakout after a long consolidation 
✅ Trading in uncharted territory 
⏳ Next milestone: Leadership Category 
 
Why SSSS? 
 
🟢 For Passive Investors 
Hold winners as long as they remain in Trend or Leadership. 
 
No need to predict market tops. 
 
No need to worry about overbought readings or bearish divergences. 
 
Exit only when the stock weakens into Choppy or Noise. 
 
🔵 For Active Traders 
 
A quality watchlist creates quality opportunities. 
Whether you trade: 
• Swing Trading 
• Positional Trading 
• F&amp;O Strategies 
• Breakouts 
• Momentum Systems 
helps you focus on stocks with improving structural strength—before they become market leaders. 
 
Stop predicting. Start filtering. 
 
The biggest edge isn&#39;t finding more trades—it&#39;s avoiding weak stocks. 
 
📊 SSSS Indicator is available on TradingView through an affordable subscription $ABCAPITAL.NSE | $ABCAPITAL.NSE  Q1 Results: Lending, insurance lift profit 40%; AUM tops ₹7.5 lakh crore 
 
https://www.cnbctv18.com/market/aditya-birla-capital-q1-results-lending-insurance-lift-profit-aum-tops-rs-7-5-lakh-crore-19958807.htm | 2. Aditya Birla Capital 
 
Valuation: P/E of 27.58 vs industry average of 31.05 
 
FII holding: 7.01% → 7.94% (+0.93 percentage points) 
 
Key highlights: 
• Diversified financial services platform 
• Q4 Net Interest Income grew 27.4% YoY 
• Net profit increased 30.6% YoY 
 
$ABCAPITAL.NSE | 3. Aditya Birla Capital 
 
Valuation: P/E of 27.58 vs industry average of 31.05 
FII holding: 7.01% → 7.94% (+0.93 percentage points) 
 
Key highlights: 
• Diversified financial services platform 
• Q4 Net Interest Income grew 27.4% YoY 
• Net profit increased 30.6% YoY 
 
$ABCAPITAL.NSE"
"2026-08-26","Cohance Lifesciences","No fresh news found for Cohance Lifesciences today from the tracked sources.","","- StockTwits users are sharing technical trading ideas for $COHANCE.NSE with breakout targets and stop-loss levels, though these are unverified swing trade suggestions with no supporting fundamental analysis.

- One post claims, without evidence, that the community is monitoring Cohance's recent leadership transition and strategic shift toward a technology-driven CDMO platform, though no specific unconfirmed rumors or insider claims are detailed.

- StockTwits posts are reporting on official SEBI regulatory disclosures regarding share encumbrances and their release by major shareholders (Berhyanda and Jusmiral Holdings), which appear to be factual regulatory filings rather than unverified speculation.","SWING TRADE IDEA🔥
STOCK: $COHANCE.NSE 
TIMEFRAME: 1 Day Chart 
Breakout above: 486.50+
SL: 465
Target: 510/531/585/640+++
(Do your own research before investing) | $COHANCE.NSE ’ Hyderabad plant gets USFDA observations: What it means for the pharma maker 
 
https://www.cnbctv18.com/business/companies/cohances-hyderabad-facility-gets-five-usfda-observations-after-inspection-19962649.htm | $COHANCE.NSE - CMP: 406.3
O: 410.0 | H: 412.3 | L: 403.55 | Prev: 414.63 | Change: -2.05%

Sector: Health Technology
Industry: Pharmaceuticals Major

Cohance Lifesciences is trending following significant corporate developments, including a recent leadership transition with the appointment of a new Chairman and Group CEO and the approval of an employee stock option plan. The community is actively monitoring the company&#39;s strategic shift toward a technology-driven CDMO platform, with discussions focusing on the impact of these changes on long-term growth and operational execution.

Explore the tools for automated analysis at https://kkonline.org/nimblrta/ | Cohance Lifesciences Limited announces that Catalyst Trusteeship Limited, as onshore security agent, has created an encumbrance over 21,99,30,170 equity shares (57.49% of total share capital) held by Berhyanda Limited (33.34%) &amp; Jusmiral Holdings Limited (24.15%). This is to secure term loan facilities availed by the borrowers from various lenders including Barclays Bank Plc &amp; Deutsche Bank AG. The pledge effective June 17, 2026, and covenants effective June 16, 2026, restrict disposal of these shares.

📊 COHANCE LIFESCIENCES LTD | 🏷️ Disclosures under Reg. 29(1) of SEBI (SAST) Regulations, 2011

🌐 Details: https://wegro.app/OR7tPk

⚡️Instant stock alerts on WhatsApp - Try FREE 👉 https://www.wegro.app/go

$COHANCE.NSE | Cohance Lifesciences Limited reports an encumbrance on 219,930,170 equity shares (57.49% of total share capital) held by Berhyanda Limited (127,539,592 shares, 33.34%) &amp; Jusmiral Holdings Limited (92,390,578 shares, 24.15%). This indirect encumbrance arose from term loan facilities availed by the borrowers under a Facility Agreement dated June 11, 2026, with covenants taking effect from June 16, 2026. Shares of the borrowers have also been pledged via Offshore Pledge Agreements.

📊 COHANCE LIFESCIENCES LTD | 🏷️ Disclosures under Reg. 29(1) of SEBI (SAST) Regulations, 2011

🌐 Details: https://wegro.app/fvFMcO

⚡️Instant stock alerts on WhatsApp - Try FREE 👉 https://www.wegro.app/go

$COHANCE.NSE | Cohance Lifesciences Limited announces the release of encumbrance on equity shares held by Berhyanda Limited &amp; Jusmiral Holdings Limited. This release, effective June 16, 2026, follows the full repayment of notes issued under a Notes Purchase Agreement. Previously, Berhyanda Limited had 12,75,39,592 shares (33.34% stake) &amp; Jusmiral Holdings Limited had 9,23,90,578 shares (24.15% stake) under encumbrance. This disclosure is made as per SEBI SAST Regulations.

📊 COHANCE LIFESCIENCES LTD | 🏷️ Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011

🌐 Details: https://wegro.app/1Zo9P9

⚡️Instant stock alerts on WhatsApp - Try FREE 👉 https://www.wegro.app/go

$COHANCE.NSE"
"2026-08-26","PhysicsWallah","No fresh news found for PhysicsWallah today from the tracked sources.","","- Posts 1, 3, 4, and 6 appear to be sharing or summarizing official company earnings announcements and verified news reports rather than containing unverified social media speculation or chatter about PhysicsWallah.

- Posts 2 and 5 are generic stock ticker lists with no PhysicsWallah-specific commentary or speculation.","📊 A ₹550 crore $PHYSICSWALLAH.P block deal sees 1.6% of the company’s equity change hands. 
 
https://www.cnbctv18.com/market/physicswallah-share-price-equity-worth-rs-550-crore-changes-hands-19977205.htm | $BSE.NSE $UFLEX.NSE $PHYSICSWALLAH.P $DRREDDY.NSE $COCHINSHIP.NSE

https://newsletter.indiastox.com/p/bse-gets-cut-uflex-explodes-dr-reddy-s-trips | $PHYSICSWALLAH.P shares jump 8% after Q1 revenue rises 24%, $JMFINANCIL.NSE upgrades 
 
https://www.cnbctv18.com/market/physicswallah-share-price-jumps-after-q1-revenue-rises-jm-financial-upgrades-19970914.htm | PHYSICS WALLAH (PW) 📊 
 
✅ Q1 Net Loss narrowed sharply to ₹22.9 Cr vs ₹126 Cr YoY 
 
✅ Revenue jumped 34% YoY to ₹930 Cr vs ₹694 Cr 
 
✅ Strong revenue growth coupled with a significant reduction in losses 
 
$PHYSICSWALLAH.P | $PHYSICSWALLAH.P $RAJESHEXPO.NSE $TITAN.NSE $POWERINDIA.NSE $AGARIND.NSE

https://newsletter.indiastox.com/p/sebi-shock-student-loans-and-jewellery-targets | 🚨 PhysicsWallah jumps after lending strategy U-turn

PhysicsWallah shares surged up to 17% after the edtech firm scrapped plans to lend directly to students through FinZ Finance.

Instead, PW will partner with regulated third-party NBFCs, reducing balance sheet and credit risk.

Key details:
• Q4 loss narrowed 75% YoY to ₹75 CR
• FY26 loss narrowed to ₹24.17 CR from ₹243.26 CR
• FY26 revenue rose 35% to ₹3,899.54 CR
• Centres increased 78% to 353
• Student base: 14.2 CR

The market read the shift as better capital discipline and lower lending-risk exposure.

$PHYSICSWALLAH.P 

#PhysicsWallah #PW #Edtech #StockMarket #IndianMarkets #NBFC #StartupIndia Educational"
"2026-08-26","Godawari Power and Ispat","No fresh news found for Godawari Power and Ispat today from the tracked sources.","","No notable social media chatter found for Godawari Power and Ispat today.",""
"2026-08-26","Ramco Industries Ltd","No fresh news found for Ramco Industries Ltd today from the tracked sources.","","- StockTwits users are speculating that Ramco Industries is poised for a rounding bottom breakout, with claims of fresh buy signals based on technical patterns like MSI Setup and bullish moving average positioning, though these are unverified technical analyses.
- Social media posts claim Ramco Industries has triggered a golden crossover (50-day MA crossing above 200-day MA) following a cup and handle breakout pattern, positioning it as having strong bullish technical momentum—however, this is unconfirmed speculation by retail traders.
- One post speculates that the successful re-appointment of Shri Ajay Bhaskar Baliga as a Non-Executive Independent Director (which appears to reference official company announcements) signals board continuity and governance strength, though any forward-looking sentiment based on this is unverified social media commentary.","$RAMCOIND.NSE  
#MSISetup #MomentumTrading #MomentumMentor #RuleBasedSetup 
Ready for Rounding Bottom Breakout. Price close Just at Breakout Level. Expect Breakout Soon. 
Fresh Buy Signal Just come in MSI Setup. MSI Line in Bullish Zone. 
 
Check my Profile Bio to Connect.  
For more Content Like This - 
Subscribe my Educational Youtube Channel (Handle - @MomentumMentorAbhi). 
Follow me on Twitter/X (Handle - @abhishek_kush ).  
Follow me on TradingView (Handle - @Abhishek_MomentumTrader) | Technical Breakouts: Golden Crossover(Stocks where the short-term 50-day moving average has recently crossed above the long-term 200-day moving average, signaling strong long-term structural momentum)
OnMobile Global $ONMOBILE.NSE 
  Roto Pumps $ROTO.NSE 
 Ramco Industries  $RAMCOIND.NSE | $RAMCOIND.NSE $APOLLOHOSP.NSE $OFSS.NSE | Golden Crossover Stocks
Ramco Industries: Triggered a fresh bullish golden crossover as its short-term moving average crossed cleanly above the 200-day line, following a recent cup and handle breakout.

Apollo Hospitals: Confirmed strong technical strength with its moving averages maintaining a positive, upward-sloping alignment after a golden cross.

Oracle Financial Services (OFSS): Displayed extended bullish momentum, well supported by long-term accumulation setups following its structural crossover.
$RAMCOIND.NSE $APOLLOHOSP.NSE $OFSS.NSE | Ramco Industries Ltd announces the successful completion of its postal ballot, with shareholders approving the re-appointment of Shri Ajay Bhaskar Baliga as a Non-Executive Independent Director for a second term of 5 years (July 27, 2026 - July 26, 2031). The resolution passed with a high majority, reflecting shareholder confidence in the director&#39;s continued role. This re-appointment is crucial for board continuity &amp; governance. 📈

📊 RAMCO INDUSTRIES LTD | 🏷️ Postal Ballot

🌐 Details: https://wegro.app/AgQSsY

⚡️Instant stock alerts on WhatsApp - Try FREE 👉 https://www.wegro.app/go

$RAMCOIND.NSE | Ramco Industries Ltd announced the results of its postal ballot. A resolution to re-appoint Shri Ajay Bhaskar Baliga as a Non-Executive Independent Director for a second term of 5 years (July 27, 2026 to July 25, 2031) was passed. The re-appointment received 99.9992% of the votes in favour out of the total valid votes cast. The total valid votes were 5,84,85,495.

📊 RAMCO INDUSTRIES LTD | 🏷️ Postal Ballot

🌐 Details: https://wegro.app/e4oBBQ

⚡️Instant stock alerts on WhatsApp - Try FREE 👉 https://www.wegro.app/go

$RAMCOIND.NSE"
